sep=,
Title,Company,Location,Keyword,Link
Mobile APP Developer | iOS and Android,Compusearch,Brussel,"React Native, Mobile, APP",https://www.ictjob.be/nl/vacature/compusearch-mobile-app-developer-ios-android/2-258183
Fullstack Opportunity (Data Product Scale-up),Vivid Resourcing,"Brugge, Waregem, Ieper, Roeselare, Gent",".NET, React, C#",https://www.ictjob.be/nl/vacature/vivid-resourcing-fullstack-opportunity-data-product-scale/2-260552
Project Manager Loans,Belfius Bank & Verzekeringen,Brussel,Project Manager Loans PM,https://www.ictjob.be/nl/vacature/belfius-bank-verzekeringen-project-manager-loans/3-244070
Product Manager Sight & Savings,Belfius Bank & Verzekeringen,Brussel,Product Manager PM IT,https://www.ictjob.be/nl/vacature/belfius-bank-verzekeringen-product-manager-sight-savings/3-244068
Credit Risk Manager,Belfius Bank & Verzekeringen,Brussel,"Credit Risk Manager, IT Finance",https://www.ictjob.be/nl/vacature/belfius-bank-verzekeringen-credit-risk-manager/3-244064
